category,model,avg_activation_rate,std_activation_rate,avg_steps,std_steps
gossip_fake,ic_model,0.3631666666666667,0.14665748077294477,3.95,0.864580823289529
gossip_fake,lt_model,0.0016666666666666666,2.168404344971009e-19,0.0,0.0
gossip_real,ic_model,0.2816166666666667,0.08163232441189512,5.35,0.7262919523166975
gossip_real,lt_model,0.0017166666666666663,0.0001589898669028243,0.1,0.30000000000000004
politi_fake,ic_model,0.22423333333333334,0.0960454232815564,4.8,1.0295630140987
politi_fake,lt_model,0.0021999999999999997,0.0008589399151150084,0.4,0.48989794855663565
politi_real,ic_model,0.4746666666666667,0.1070859467904169,5.85,0.6538348415311012
politi_real,lt_model,0.0016666666666666666,2.168404344971009e-19,0.0,0.0
